,time,name,x,y,speed
2072373,18000,103149,13444.870974200001,13929.0919889,15.28
2072374,18000,1033700,13115.9730229,13320.8671137,15.28
2072395,18000,106953,13537.96,12444.94,15.28
2072405,18000,1080609,13854.018769999999,12432.8594129,15.28
2072408,18000,1082668,13479.384597999999,13902.918116100001,15.28
2072412,18000,1085033,12851.1929045,13079.9536604,15.28
2072440,18000,1123999,13390.05,12764.58,15.28
2072454,18000,1139830,14387.8305014,13963.0350958,15.28
2072521,18000,1230248,13456.69,13905.57,15.28
2072525,18000,1234431,13726.3741373,12522.1882081,15.28
2072534,18000,1244127,13739.664713299999,13245.353218600001,15.28
2072547,18000,1254924,13073.0567853,12999.6949823,15.28
2072552,18000,1261703,14403.759796,12982.0802238,15.28
2072555,18000,1265310,14195.770372799998,13284.465688600001,15.28
2072631,18000,1391470,13162.95,13984.36,15.28
2072636,18000,1398186,13092.614226,13004.3260679,15.28
2072639,18000,1400218,13189.44,12926.06,15.28
2072671,18000,1454961,13011.66,13051.14,15.28
2072706,18000,1548766,14199.8495852,13314.6891998,15.28
2072739,18000,194629,13122.08,13072.43,15.28
2072749,18000,218612,14388.3690371,13727.052178,15.28
2072813,18000,247261,12746.4174608,13664.3575235,15.28
2072824,18000,267292,14200.083731499999,13124.9257473,15.28
2072931,18000,30499,13921.4932974,13216.0546659,15.28
2072933,18000,31254,13596.39,13893.5,15.28
2072937,18000,331548,14363.8266113,13629.1791572,15.28
2072941,18000,344735,14338.8973169,13505.663119799998,15.28
2072958,18000,404627,12864.73,13259.74,15.28
2072976,18000,487672,12689.9213275,13910.392902700001,15.28
2072980,18000,497819,12689.9213275,13910.392902700001,15.28
2072981,18000,506816,14204.665845500002,13286.6844244,15.28
2072983,18000,516020,12746.4174608,13664.3575235,15.28
2072986,18000,537514,14339.11,13121.55,15.28
2073188,18000,736276,13499.4,13396.05,15.28
2073226,18001,103149,13429.843737600002,13931.8597606,15.28
2073227,18001,1033700,13102.2743969,13314.0976199,15.28
2073248,18001,106953,13543.0824841,12457.7023532,15.28
2073258,18001,1080609,13863.19,12427.34,15.28
2073261,18001,1082668,13494.608928100002,13901.614976299998,15.28
2073265,18001,1085033,12862.348984799999,13090.3949376,15.28
2073293,18001,1123999,13388.8480125,12765.523403399999,15.28
2073307,18001,1139830,14387.3621008,13975.8580088,15.28
2073374,18001,1230248,13443.5144544,13909.509860600001,15.28
2073378,18001,1234431,13713.951880200002,12531.0857317,15.28
2073387,18001,1244127,13752.6395541,13237.2827844,15.28
2073400,18001,1254924,13061.3447719,13009.5086025,15.28
2073405,18001,1261703,14397.3337231,12995.9432677,15.28
2073408,18001,1265310,14180.9445849,13280.7677955,15.28
2073484,18001,1391470,13162.95,13984.36,15.28
2073488,18001,1398186,13098.681704100001,13018.349766,15.28
2073491,18001,1400218,13189.44,12926.06,15.28
2073522,18001,1454961,13011.66,13051.14,15.28
2073557,18001,1548766,14186.534616799998,13322.185199700001,15.28
2073590,18001,194629,13122.08,13072.43,15.28
2073600,18001,218612,14388.575988600001,13742.3307764,15.28
2073664,18001,247261,12743.75,13675.27,15.28
2073675,18001,267292,14185.2633958,13128.6454314,15.28
2073782,18001,30499,13906.667509600002,13212.356772799998,15.28
2073784,18001,31254,13596.39,13893.5,15.28
2073788,18001,331548,14361.577882700003,13614.0655336,15.28
2073792,18001,344735,14336.103414399999,13490.640719600002,15.28
2073809,18001,404627,12864.73,13259.74,15.28
2073828,18001,487672,12688.678849700002,13925.6223035,15.28
2073832,18001,497819,12688.678849700002,13925.6223035,15.28
2073833,18001,506816,14189.8400576,13282.9865313,15.28
2073835,18001,516020,12743.75,13675.27,15.28
2073838,18001,537514,14339.403194499999,13136.8271868,15.28
2074040,18001,736276,13499.4,13396.05,15.28
2074078,18002,103149,13414.816501000001,13934.6275322,15.28
2074079,18002,1033700,13088.575771,13307.328126100001,15.28
2074100,18002,106953,13548.774133,12471.8827457,15.28
2074110,18002,1080609,13863.19,12427.34,15.28
2074113,18002,1082668,13509.833258200002,13900.311836500001,15.28
2074117,18002,1085033,12873.5050652,13100.836214899999,15.28
2074145,18002,1123999,13376.8281372,12774.9574374,15.28
2074159,18002,1139830,14386.6489356,13991.121356900001,15.28
2074226,18002,1230248,13428.8749593,13913.8874835,15.28
2074230,18002,1234431,13701.529622999999,12539.983255399999,15.28
2074239,18002,1244127,13765.614394799999,13229.212350299998,15.28
2074252,18002,1254924,13049.6327586,13019.3222227,15.28
2074257,18002,1261703,14390.907650100002,13009.8063116,15.28
2074260,18002,1265310,14166.118797100002,13277.069902299998,15.28
2074336,18002,1391470,13162.95,13984.36,15.28
2074340,18002,1398186,13104.749182200001,13032.373464100001,15.28
2074343,18002,1400218,13189.44,12926.06,15.28
2074374,18002,1454961,13011.66,13051.14,15.28
2074409,18002,1548766,14173.2196484,13329.681199600001,15.28
2074442,18002,194629,13122.08,13072.43,15.28
2074453,18002,218612,14388.7829402,13757.6093748,15.28
2074518,18002,247261,12743.75,13675.27,15.28
2074529,18002,267292,14178.95,13130.23,15.28
2074636,18002,30499,13893.4335285,13211.481136299999,15.28
2074638,18002,31254,13596.39,13893.5,15.28
2074642,18002,331548,14359.329154100002,13598.95191,15.28
2074646,18002,344735,14333.3095118,13475.6183194,15.28
2074663,18002,404627,12864.73,13259.74,15.28
2074682,18002,487672,12688.09,13932.84,15.28
