,time,name,x,y,speed
135621,7657,1282314,14034.73,13888.21,0.0
135623,7658,1282314,14050.000215200002,13887.663258,15.28
135625,7659,1282314,14065.2704304,13887.116516,15.28
135627,7660,1282314,14080.5406456,13886.569774000001,15.28
135629,7661,1282314,14095.810860799998,13886.0230319,15.28
135631,7662,1282314,14111.081075999999,13885.4762899,15.28
135633,7663,1282314,14126.3512912,13884.9295479,15.28
135635,7664,1282314,14141.6215064,13884.382805899999,15.28
135637,7665,1282314,14154.509663799998,13886.4418646,15.28
135639,7666,1282314,14169.3424368,13890.111638999999,15.28
135641,7667,1282314,14181.0212426,13894.9174134,15.28
135643,7668,1282314,14195.122795899999,13900.8016801,15.28
135645,7669,1282314,14206.55,13905.57,15.28
135647,7670,1282314,14219.9948277,13912.8305101,15.28
135649,7671,1282314,14231.8658806,13916.1377414,15.28
135651,7672,1282314,14247.0176418,13918.113224200002,15.28
135653,7673,1282314,14262.169403,13920.088706999999,15.28
135655,7674,1282314,14277.3211641,13922.0641898,15.28
135657,7675,1282314,14292.472925299999,13924.0396725,15.28
135659,7676,1282314,14307.624686500001,13926.0151553,15.28
135661,7677,1282314,14322.7764477,13927.990638100002,15.28
135663,7678,1282314,14337.928208899999,13929.966120899999,15.28
135665,7679,1282314,14353.079969999999,13931.9416037,15.28
135667,7680,1282314,14368.231731200001,13933.917086500001,15.28
135669,7681,1282314,14383.3834924,13935.892569299998,15.28
135671,7682,1282314,14398.535253600001,13937.868052000002,15.28
135673,7683,1282314,14413.6870148,13939.843534799998,15.28
135675,7684,1282314,14428.8387759,13941.8190176,15.28
135677,7685,1282314,14443.990537099999,13943.794500400001,15.28
135679,7686,1282314,14459.142298299997,13945.769983200002,15.28
135681,7687,1282314,14474.2940595,13947.745466,15.28
135683,7688,1282314,14489.445820700003,13949.7209488,15.28
136190,7970,179805,13176.3788868,12933.9900517,15.28
136196,7971,179805,13163.3177736,12941.9201035,15.28
136202,7972,179805,13150.256660299998,12949.8501552,15.28
136208,7973,179805,13137.1955471,12957.780206899999,15.28
136214,7974,179805,13124.1344339,12965.7102587,15.28
136220,7975,179805,13111.0733207,12973.6403104,15.28
136226,7976,179805,13098.0122075,12981.5703622,15.28
136232,7977,179805,13085.94,12988.9,15.28
136238,7978,179805,13077.4657988,12999.7307625,15.28
136244,7979,179805,13068.050019700002,13011.7649431,15.28
136250,7980,179805,13058.6342405,13023.7991237,15.28
136256,7981,179805,13049.2184614,13035.8333043,15.28
136262,7982,179805,13039.8026823,13047.8674849,15.28
136268,7983,179805,13031.114461,13057.4844877,15.28
136274,7984,179805,13022.0422032,13066.453885500001,15.28
136280,7985,179805,13012.59,13077.3,15.28
136286,7986,179805,13004.2186662,13088.2104663,15.28
136292,7987,179805,12994.9171843,13100.3332066,15.28
136294,7988,1052610,12784.9177864,13448.495332499999,15.28
136299,7988,179805,12985.615702299998,13112.4559469,15.28
136301,7989,1052610,12772.985572900001,13438.9506649,15.28
136306,7989,179805,12976.314220299999,13124.5786872,15.28
136308,7990,1052610,12761.0533593,13429.405997400001,15.28
136313,7990,179805,12967.0127384,13136.7014275,15.28
136315,7991,1052610,12749.1211457,13419.8613298,15.28
136320,7991,179805,12957.7112564,13148.8241678,15.28
136322,7992,1052610,12737.1889322,13410.3166623,15.28
136327,7992,179805,12948.409774400001,13160.9469081,15.28
136329,7993,1052610,12725.2567186,13400.7719947,15.28
136334,7993,179805,12945.891698000001,13171.618293700001,15.28
136336,7994,1052610,12713.3245051,13391.227327200002,15.28
136341,7994,179805,12955.9973579,13183.079272600002,15.28
136343,7995,1052610,12701.3922915,13381.682659600001,15.28
136348,7995,179805,12966.103017799998,13194.5402514,15.28
136350,7996,1052610,12689.4600779,13372.1379921,15.28
136355,7996,179805,12976.2086777,13206.001230299998,15.28
136357,7997,1052610,12679.8104405,13379.9205845,15.28
136362,7997,179805,12986.3143376,13217.4622092,15.28
136364,7998,1052610,12668.6984912,13390.408815100001,15.28
136369,7998,179805,12993.668381899999,13228.2783251,15.28
136371,7999,1052610,12657.5865419,13400.8970457,15.28
136376,7999,179805,12996.0602916,13243.3699509,15.28
136378,8000,1052610,12646.4745926,13411.3852764,15.28
136383,8000,179805,12991.5843875,13255.924459799999,15.28
136385,8001,1052610,12635.362643299999,13421.873506999998,15.28
136390,8001,179805,12985.739871799999,13270.0425346,15.28
136392,8002,1052610,12624.250694,13432.361737600002,15.28
136397,8002,179805,12979.8953562,13284.1606094,15.28
136399,8003,1052610,12613.1387446,13442.849968200002,15.28
136404,8003,179805,12972.0391195,13293.2092651,15.28
136406,8004,1052610,12602.0267953,13453.3381988,15.28
136411,8004,179805,12959.92,13295.69,15.28
136413,8005,1052610,12593.03,13461.83,15.28
136418,8005,179805,12944.6526986,13296.3128224,15.28
136420,8006,1052610,12581.906515100001,13472.3059956,15.28
136425,8006,179805,12929.3853972,13296.9356448,15.28
136427,8007,1052610,12570.7830303,13482.7819912,15.28
136432,8007,179805,12914.1180959,13297.5584673,15.28
136434,8008,1052610,12559.6595454,13493.2579868,15.28
136439,8008,179805,12903.474042799999,13290.065603899999,15.28
136441,8009,1052610,12548.5360605,13503.733982400001,15.28
136446,8009,179805,12891.4415964,13280.6476088,15.28
136448,8010,1052610,12537.412575700002,13514.209977899998,15.28
136453,8010,179805,12879.4091499,13271.229613700001,15.28
136455,8011,1052610,12527.9433525,13523.122881600002,15.28
136460,8011,179805,12867.3767035,13261.811618700001,15.28
136462,8012,1052610,12518.6410061,13531.8808229,15.28
136467,8012,179805,12864.73,13259.74,15.28
136469,8013,1052610,12507.5185213,13542.3578803,15.28
136474,8013,179805,12864.73,13259.74,15.28
136481,8014,179805,12864.73,13259.74,15.28
136488,8015,179805,12864.73,13259.74,15.28
136495,8016,179805,12864.73,13259.74,15.28
136502,8017,179805,12861.9166298,13268.465661700002,15.28
136509,8018,179805,12857.2276794,13283.008431100001,15.28
136516,8019,179805,12852.538729,13297.551200599999,15.28
136523,8020,179805,12847.8497786,13312.09397,15.28
136530,8021,179805,12843.1608282,13326.6367395,15.28
136537,8022,179805,12838.4718778,13341.1795089,15.28
136544,8023,179805,12833.7829275,13355.722278399999,15.28
136551,8024,179805,12829.0939771,13370.2650479,15.28
136558,8025,179805,12824.4050267,13384.8078173,15.28
136565,8026,179805,12819.7160763,13399.3505868,15.28
136572,8027,179805,12815.0271259,13413.8933562,15.28
136579,8028,179805,12810.448741299999,13425.5664597,15.28
136586,8029,179805,12804.5466434,13439.660559200001,15.28
136593,8030,179805,12798.6445456,13453.754658599999,15.28
136600,8031,179805,12795.035879899999,13465.4614936,15.28
136607,8032,179805,12791.4076397,13480.304480899998,15.28
136614,8033,179805,12787.7793994,13495.1474682,15.28
136621,8034,179805,12784.1511592,13509.990455500001,15.28
136628,8035,179805,12780.522919,13524.8334428,15.28
136635,8036,179805,12776.8946787,13539.6764301,15.28
136642,8037,179805,12773.2664385,13554.519417399999,15.28
136650,8038,179805,12769.6381983,13569.362404700001,15.28
136658,8039,179805,12766.009958,13584.205391999998,15.28
136667,8040,179805,12762.381717799999,13599.048379299998,15.28
136676,8041,179805,12758.753477600001,13613.8913666,15.28
136685,8042,179805,12755.125237299999,13628.734353900001,15.28
136694,8043,179805,12751.496997100001,13643.5773412,15.28
136703,8044,179805,12747.8687569,13658.4203285,15.28
136712,8045,179805,12744.2405166,13673.263315799999,15.28
136721,8046,179805,12740.9879937,13685.603234600001,15.28
136730,8047,179805,12737.0422704,13700.364998299998,15.28
136739,8048,179805,12733.0965472,13715.1267619,15.28
136748,8049,179805,12729.1508239,13729.888525600001,15.28
136757,8050,179805,12725.2051006,13744.650289300002,15.28
136766,8051,179805,12721.820808600001,13757.085594499998,15.28
136775,8052,179805,12717.7624257,13771.8167834,15.28
136784,8053,179805,12713.704042799998,13786.547972400002,15.28
136793,8054,179805,12709.64566,13801.2791613,15.28
136802,8055,179805,12705.5872771,13816.0103502,15.28
136811,8056,179805,12701.5288942,13830.741539200002,15.28
136820,8057,179805,12697.470511299998,13845.472728100001,15.28
136829,8058,179805,12694.4099155,13858.6115806,15.28
