,time,name,x,y,speed
1915741,25201,1000952,13596.39,13893.5,12.5
1915790,25201,1003038,14478.361071599998,13316.7064239,12.5
1915826,25201,1005202,12624.8,13311.08,12.5
1915827,25201,1005282,13303.07,13944.81,12.5
1915871,25201,1007384,13184.01,13345.73,12.5
1915903,25201,1008767,14435.986090299999,13997.281381,12.5
1915919,25201,1009766,13549.85,13391.11,12.5
1915920,25201,100978,13343.765285,13938.067872900001,12.5
1915937,25201,1010482,13596.39,13893.5,12.5
1915939,25201,1010533,13608.721606600002,13359.015473399999,12.5
1915946,25201,10108,12526.96,12753.38,12.5
1915961,25201,1011484,13766.47,13250.01,12.5
1915963,25201,1011624,13388.77,13925.88,12.5
1915984,25201,1012414,12777.8539778,13535.7519755,12.5
1915990,25201,1012771,13470.25,13903.7,12.5
1916002,25201,1013436,13112.509359200001,12972.76842,12.5
1916004,25201,1013631,13719.8180204,12867.6733589,12.5
1916022,25201,1014674,13722.1571662,13282.588716299999,12.5
1916040,25201,1015668,14333.0763846,13270.847255,12.5
1916052,25201,1016078,13447.333552700002,13928.6384222,12.5
1916057,25201,1016227,14018.844576700001,12324.5697559,12.5
1916059,25201,1016342,13865.991569,12465.137867,12.5
1916063,25201,1016563,13572.376559799999,13894.958388,12.5
1916074,25201,1016868,13673.038724700002,12788.370002200001,12.5
1916080,25201,1017237,13676.33,13734.02,12.5
1916082,25201,1017435,12711.202062100001,13795.629705700001,12.5
1916083,25201,1017439,13384.013333399998,12053.0512349,12.5
1916086,25201,1017505,13452.7090805,13387.3202786,12.5
1916098,25201,1017890,12688.7,13371.53,12.5
1916116,25201,1018927,12822.812468799999,13389.747131999999,12.5
1916119,25201,1019136,12891.4447462,13280.6500742,12.5
1916120,25201,1019143,14195.776194400001,13284.4671406,12.5
1916123,25201,101938,13063.183108399999,13294.7797529,12.5
1916127,25201,1019613,13873.22,13066.78,12.5
1916167,25201,1021488,12861.3312116,13089.442376100002,12.5
1916174,25201,1022313,14450.3866748,12881.491501999999,12.5
1916182,25201,1022608,12976.6571579,13291.982836,12.5
1916183,25201,1022686,12747.311754200002,13660.699004600001,12.5
1916192,25201,1023079,13602.542597900001,13363.2655359,12.5
1916207,25201,1023885,14424.102017700001,12938.1957064,12.5
1916212,25201,1024106,13664.269396899997,13895.2524305,12.5
1916219,25201,1024290,13147.962850700002,13966.008716999999,12.5
1916232,25201,102524,14397.8173605,12994.899910799999,12.5
1916235,25201,1025352,12829.5369434,13957.224511700002,12.5
1916248,25201,1026270,13499.4,13396.05,12.5
1916251,25201,1026433,13439.209108000001,12729.4799334,12.5
1916277,25201,1027751,13162.95,13984.36,12.5
1916298,25201,1028994,14034.73,13888.21,12.5
1916349,25201,1031007,13676.33,13734.02,12.5
1916356,25201,1031360,14371.8782919,13683.2942113,12.5
1916399,25201,1033553,14316.001263799999,13309.773505399999,12.5
1916454,25201,1036890,13834.7505504,13020.0567184,12.5
1916462,25201,1037228,14452.286014899999,13335.8124979,12.5
1916473,25201,1037814,12792.130493999999,13477.3473123,12.5
1916487,25201,1038380,13692.06,13682.15,12.5
1916490,25201,1038531,14340.740990399998,13206.534350700002,12.5
1916498,25201,1039061,12693.0641294,13933.3479734,12.5
1916506,25201,1039415,13251.77,13344.95,12.5
1916530,25201,1040451,13415.7121078,12135.946108600001,12.5
1916551,25201,1041562,13910.848206400002,13877.2986107,12.5
1916552,25201,1041567,14331.524385699999,13463.1211069,12.5
1916553,25201,104158,12647.373474299999,13332.593354999999,12.5
1916554,25201,1041581,13763.0391595,13465.255994799998,12.5
1916558,25201,1041686,12843.909676899999,13324.314186900001,12.5
1916589,25201,1042938,13096.4821423,12982.4993408,12.5
1916613,25201,1044141,13606.64,13360.4,12.5
1916614,25201,1044186,12885.0597856,13111.6505902,12.5
1916624,25201,1044465,14384.49,12364.18,12.5
1916626,25201,1044503,13581.86,13377.73,12.5
1916629,25201,1044544,13221.315657500001,13955.4026148,12.5
1916643,25201,1045590,14342.25,13523.69,12.5
1916648,25201,1045805,12840.81,13241.74,12.5
1916657,25201,1046408,13456.69,13905.57,12.5
1916667,25201,1047139,13953.207675299998,13223.9649625,12.5
1916668,25201,1047145,13017.479984399999,13071.6888922,12.5
1916675,25201,1047358,12688.09,13932.84,12.5
1916685,25201,1047829,12923.31,13147.45,12.5
1916691,25201,1048212,14129.069851600001,13267.8290416,12.5
1916718,25201,1049128,12959.92,13295.69,12.5
1916720,25201,1049194,14466.157469100002,12847.4689793,12.5
1916747,25201,1050258,13713.422029299998,13888.1269826,12.5
1916770,25201,105141,13051.976771700001,13289.2418817,12.5
1916773,25201,1051489,13882.327585100002,13191.654342299998,12.5
1916774,25201,1051577,13251.77,13344.95,12.5
1916793,25201,1052449,13826.7767463,13139.853188,12.5
1916807,25201,1052815,13703.6619755,13629.6670822,12.5
1916815,25201,1053063,13549.85,13391.11,12.5
1916839,25201,1054161,13088.923022600002,13970.6666375,12.5
1916849,25201,1054529,12885.5536604,13968.286585499998,12.5
1916872,25201,1055705,13744.5534813,13468.461946599999,12.5
1916875,25201,105597,14375.1044076,13882.690262900001,12.5
1916894,25201,1057674,12624.8,13311.08,12.5
1916901,25201,1058242,12946.1814271,13296.250458700002,12.5
1916906,25201,1058383,13713.093177399998,13289.2525447,12.5
1916910,25201,1058586,14196.8639424,13269.4827232,12.5
1916911,25201,1058598,12565.474707700001,12828.640043200001,12.5
1916946,25201,1060507,13508.9709315,12368.3119298,12.5
1916961,25201,1061393,13343.7868095,13938.0643069,12.5
1916966,25201,1061864,13197.135616399999,12919.1724549,12.5
1916981,25201,1062550,13891.8393179,13211.9649219,12.5
1916985,25201,1062964,12629.6425423,12927.0714355,12.5
1916991,25201,1063403,13162.95,13984.36,12.5
1917040,25201,1065791,13521.7929036,13393.8573153,12.5
1917060,25201,1067065,14302.752867399999,13291.321291299999,12.5
1917066,25201,1067348,14285.306500100001,13303.9088674,12.5
1917070,25201,1067411,12963.059317899999,13295.0473943,12.5
1917086,25201,1068076,13711.078957700001,13290.7333954,12.5
1917139,25201,1070434,13550.231402700001,13917.599280200002,12.5
1917163,25201,1071640,12783.226108600002,13513.7748009,12.5
1917183,25201,1072920,12765.94,13059.34,12.5
1917185,25201,1073036,14006.572749500001,13237.275441700001,12.5
1917192,25201,1073470,13959.26,13142.59,12.5
1917193,25201,1073475,12915.176822,13139.8379388,12.5
1917209,25201,1073988,12688.394927500001,13929.102418,12.5
1917223,25201,1074703,13852.3668159,13223.943406299999,12.5
1917261,25201,1076775,12829.5369434,13957.224511700002,12.5
1917271,25201,1077331,14249.2716424,13403.0651154,12.5
1917280,25201,1077809,12990.2343746,13291.1707964,12.5
1917289,25201,1078142,13058.6076976,13011.8020261,12.5
1917291,25201,1078186,13924.542137600001,13878.5390738,12.5
1917297,25201,1078610,13464.641601899999,12711.320893,12.5
1917300,25201,1078714,13015.997511700001,13047.5055529,12.5
1917301,25201,1078716,13577.358343200001,13894.531967899999,12.5
1917311,25201,1079250,13368.8534483,13978.2036926,12.5
1917314,25201,1079444,12530.8760128,13230.2029267,12.5
1917315,25201,1079451,14213.149228299999,13909.133732100001,12.5
1917320,25201,1079795,14322.1402166,13310.9464329,12.5
1917326,25201,1080025,12878.589622700001,13966.9113407,12.5
1917345,25201,1081267,12691.647487299999,13889.2348766,12.5
1917355,25201,1081933,14034.73,13888.21,12.5
1917371,25201,1082568,12714.65,13054.92,12.5
1917378,25201,1083076,12691.820597,13933.220980099999,12.5
1917412,25201,1085573,13389.3401234,12067.247466600002,12.5
1917437,25201,1086758,13113.6086841,12963.5880677,12.5
1917449,25201,1087537,12976.53,13292.29,12.5
1917461,25201,1087938,13388.77,13925.88,12.5
1917485,25201,1089270,13421.1052723,13916.210839500001,12.5
1917503,25201,1090225,13671.308765900001,13794.390197,12.5
1917521,25201,1091471,14451.9421039,12845.389573999999,12.5
1917530,25201,1091818,12910.08,13973.13,12.5
1917536,25201,1092220,14138.01,12012.14,12.5
1917564,25201,1093434,14387.0315618,13982.932291,12.5
1917566,25201,1093567,12910.08,13973.13,12.5
1917567,25201,1093578,14255.71,12348.19,12.5
1917570,25201,1093768,12723.85,13749.72,12.5
1917575,25201,1093955,13333.9453779,13362.3280098,12.5
1917576,25201,109396,13206.44,13957.33,12.5
1917586,25201,1094492,12872.2828611,13099.692321100001,12.5
1917622,25201,1096138,14366.338103299999,12384.8238346,12.5
1917637,25201,1096801,13026.9898604,13038.294947299999,12.5
1917690,25201,1099142,12543.16,12794.41,12.5
1917699,25201,109942,12828.289367799998,13372.7605416,12.5
1917704,25201,1099702,13016.6587325,13072.6312537,12.5
1917708,25201,1099769,12725.3,13936.64,12.5
1917716,25201,1100189,14211.94,13121.95,12.5
1917725,25201,1100441,13296.9335832,13945.6050734,12.5
1917733,25201,1100971,13653.126801100001,13897.8040072,12.5
1917734,25201,1100984,13836.8100239,13061.7449564,12.5
1917736,25201,1101066,12799.5241461,13062.681800499999,12.5
1917737,25201,1101080,14478.2484114,12821.3850453,12.5
1917745,25201,1101511,13516.4899278,12388.1872209,12.5
1917750,25201,1101800,14342.2755618,13297.0345144,12.5
1917751,25201,110186,12775.508974600001,13545.3452909,12.5
1917753,25201,1101906,14369.116501800001,13002.7819073,12.5
1917756,25201,110201,13527.5367831,13919.2821871,12.5
1917778,25201,1103400,12751.170321200001,13644.913759600002,12.5
1917779,25201,1103450,13471.92,13924.11,12.5
1917789,25201,110384,13588.48,13893.58,12.5
1917800,25201,1104432,13307.5284757,13352.3698979,12.5
1917809,25201,1104593,13588.16,12646.31,12.5
1917819,25201,1105246,12948.6828926,13969.9206901,12.5
1917820,25201,1105329,12776.073100700001,13543.0374732,12.5
1917829,25201,1105528,14332.3318851,13417.635874700001,12.5
1917849,25201,1106746,14110.91,13364.76,12.5
1917854,25201,1107028,14300.9293936,12362.7315418,12.5
1917858,25201,1107113,13388.77,13925.88,12.5
1917872,25201,1108071,13761.6946512,13423.563983000002,12.5
1917889,25201,1108755,13716.31,13259.88,12.5
1917920,25201,1110118,13770.8579597,13399.562477,12.5
1917923,25201,1110373,14209.6925372,13954.879744,12.5
1917969,25201,1112468,13624.935736399999,13348.2310654,12.5
1917980,25201,1113014,14370.737036700002,13675.623876399999,12.5
1917999,25201,1113895,12827.705706499999,13220.4496855,12.5
1918003,25201,1114009,14375.4738996,13709.978512099999,12.5
1918004,25201,1114053,13106.2906712,13035.9362911,12.5
1918010,25201,1114465,13537.96,12444.94,12.5
1918031,25201,1115776,14233.5800796,13264.545131,12.5
1918070,25201,111787,12768.9495924,13572.1794641,12.5
1918071,25201,1117883,14162.8618912,13382.8186985,12.5
1918085,25201,1118967,13960.0111776,13881.721735100002,12.5
1918136,25201,1121996,13672.29,13889.28,12.5
1918146,25201,1122535,13413.12,13934.94,12.5
1918149,25201,1122687,12688.09,13932.84,12.5
1918172,25201,1124050,12735.7930433,13705.038614399999,12.5
1918179,25201,1124975,13201.7927751,12915.004317,12.5
1918184,25201,1125228,14371.6447118,13622.6192693,12.5
1918202,25201,112629,12627.1242942,12923.208524,12.5
1918204,25201,1126344,13708.2,13292.85,12.5
1918207,25201,1126379,13167.8,13964.15,12.5
1918210,25201,112675,13003.5878213,13989.008048700001,12.5
1918218,25201,1127324,13360.6128104,13367.967496,12.5
1918222,25201,1127530,12981.785683700002,13291.8607808,12.5
1918226,25201,1127818,12913.1,13297.6,12.5
1918232,25201,1128215,12647.373474299999,13332.593354999999,12.5
1918233,25201,1128351,13800.3176789,12975.4318487,12.5
1918239,25201,1128505,13081.424418100001,13970.81131,12.5
1918274,25201,1130159,12568.6627642,13935.3377555,12.5
1918275,25201,1130183,12732.1297417,13718.7437806,12.5
1918280,25201,1130408,13761.351216799998,13469.9624637,12.5
1918281,25201,1130477,14300.039986700001,13306.723893600001,12.5
1918287,25201,1130695,12766.6045892,13581.7727794,12.5
1918301,25201,1131266,13549.85,13391.11,12.5
1918308,25201,1131494,13029.411139599999,13036.2661318,12.5
1918345,25201,1133764,13085.94,12988.9,12.5
1918350,25201,1133991,14201.3175901,13313.862749099999,12.5
1918365,25201,113475,13433.989986000002,13383.484909,12.5
1918371,25201,1134952,12840.81,13241.74,12.5
1918379,25201,1135294,14375.52,13707.77,12.5
1918384,25201,1135423,13411.2025378,12124.287902099999,12.5
1918385,25201,1135477,13653.559705000001,13895.341773700002,12.5
1918392,25201,1135667,13388.4222156,13925.9752333,12.5
1918430,25201,1137301,12771.620907999999,13561.251217500001,12.5
1918436,25201,1137400,12705.8900426,13814.9113667,12.5
1918439,25201,1137549,13447.68,13386.38,12.5
1918447,25201,1137959,13343.7868095,13938.0643069,12.5
1918473,25201,1139600,13206.44,13957.33,12.5
1918484,25201,114020,13615.0037861,13891.244015200002,12.5
1918531,25201,1142583,14119.95,12128.25,12.5
1918542,25201,1143038,13495.7138748,13395.360811499999,12.5
1918546,25201,1143217,13251.77,13344.95,12.5
1918558,25201,1143714,14199.61,13951.25,12.5
1918563,25201,1144157,12796.85,13458.04,12.5
1918606,25201,1146642,12756.18664,13624.392197600002,12.5
1918621,25201,1147700,12773.4312847,13553.8450382,12.5
1918625,25201,1148019,13344.951954200002,13364.655621799999,12.5
1918630,25201,114809,13678.539973199999,13889.261681400001,12.5
1918642,25201,114870,12812.3685057,13953.8341215,12.5
1918655,25201,1149490,13459.626776299998,13926.374211100001,12.5
1918658,25201,1149559,12689.0862328,13920.628894100002,12.5
1918660,25201,1149583,14412.996717299999,13328.305761299998,12.5
1918670,25201,1150016,12822.919169399998,13389.416200399999,12.5
1918671,25201,1150025,12659.7012473,12970.0898732,12.5
1918690,25201,1151518,13274.720690600001,12864.716327099999,12.5
1918715,25201,1152713,13752.166384,13480.3513744,12.5
1918724,25201,1153187,13708.2,13292.85,12.5
1918737,25201,115373,13672.29,13889.28,12.5
