,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,
0,17,17,17,17,17,22,111.9701493,287.7607656,175.9237537,111.9738806,95.9792,95.984,159.9413333,143.9544365,111.9757463,175.914956,271.7918552,223.8619403,191.9009585,95.984,95.984,63.99466951,63.99573561,32.00053333,,,
1,17,18,17,17,19,33.00440044,160.0826667,448.4701493,272.2090909,176.0879765,144.0551559,144.0743405,256.1709402,224.1529851,176.0938416,256.1880342,416.4652778,352.2882353,288.2259615,160.064,160.064,96.0336,96.04,48.0088,,,
2,17,19,17,18,21,45.0060015,224.2686567,593.8811881,368.7484663,240.3,192.1955128,208.2326389,336.6404494,304.5279188,240.316,352.6705882,577.7019231,465.1472868,384.8333333,208.2361111,208.2361111,128.1025641,144.1129808,64.02347919,,,
3,18,19,17,18,22,56.01493931,272.5363636,771.7564103,481.48,304.5989848,240.388,256.4615385,433.2753623,401.0333333,304.6243655,449.3283582,739.4444444,594.2970297,497.6528926,256.4700855,256.4700855,161.1935484,176.2199413,81.04324324,,,
4,18,20,17,18,24,66.01760176,336.8258427,933.9375,578.3269231,368.9325153,288.6009615,320.7058824,529.9734513,481.616,368.9693252,546.0727273,885.3970588,723.5903614,610.5816327,320.7219251,320.7219251,208.2951389,210.3368421,97.06472492,,,
5,18,20,17,18,24,66.02640264,400.7666667,1109.407407,690.137931,432.8633094,336.5674157,368.6625767,625.8229167,577.4807692,432.9064748,641.9354839,1060.894737,851.3428571,722.373494,384.6602564,384.6602564,240.276,256.3162393,112.0616822,,,
6,18,21,17,19,26,82.04377565,481.416,1306.304348,804.04,513.6153846,401.0333333,433.2302158,739.4444444,674.8089888,513.6837607,771.5897436,1241.520833,1014.288136,852.5142857,449.2462687,449.2462687,272.5136364,304.5786802,128.1089744,,,
7,18,21,17,19,26,82.04377565,513.3760684,1417.952381,883.8676471,561.5420561,448.9776119,481.176,819.2739726,738.691358,561.6168224,835.4444444,1368.931818,1109.981481,932.3125,481.208,481.208,304.4923858,320.5668449,128.1089744,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
