,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,
0,1,1,1,1,1,4,31,103,58,38,31,32,68,56,38,74,151,81,60,25,29,16,22,8,,,
1,1,1,1,1,1,3,11,30,18,12,9,9,19,18,12,21,38,26,16,8,9,6,6,4,,,
2,1,1,1,1,1,1,6,16,10,8,7,6,12,9,8,10,19,13,11,5,7,4,5,3,,,
3,1,1,1,1,1,1,5,12,8,5,5,5,8,8,5,8,13,9,8,4,5,4,4,1,,,
4,1,1,1,1,1,1,4,9,7,5,4,4,6,7,5,6,10,8,7,4,4,2,4,1,,,
5,1,1,1,1,1,1,4,8,5,4,4,4,5,5,4,5,9,6,5,2,4,3,2,1,,,
6,1,1,1,1,1,1,4,6,5,4,2,4,5,4,4,5,8,5,5,2,2,3,3,1,,,
7,1,1,1,1,1,1,2,5,4,4,2,2,4,4,4,4,6,5,4,3,2,3,3,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,no of ap,no of vehicles,transfer_rate,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,result,1,1,result,2,2,result,3,3,result,4,4,result,5,5,result,21,21,result,22,22,result,23,23,result
0,1,3,333.3333333,1,8,125,1,1,1000,1,4,250,1,16,62.5,4,109,36.69724771,16,401,39.90024938,22,430,51.1627907,8,178,44.94382022
1,1,3,333.3333333,1,8,125,1,1,1000,1,4,250,1,16,62.5,3,109,27.52293578,6,401,14.96259352,6,430,13.95348837,4,178,22.47191011
2,1,3,333.3333333,1,8,125,1,1,1000,1,4,250,1,16,62.5,1,109,9.174311927,4,401,9.975062344,5,430,11.62790698,3,178,16.85393258
3,1,3,333.3333333,1,8,125,1,1,1000,1,4,250,1,16,62.5,1,109,9.174311927,4,401,9.975062344,4,430,9.302325581,1,178,5.617977528
4,1,3,333.3333333,1,8,125,1,1,1000,1,4,250,1,16,62.5,1,109,9.174311927,2,401,4.987531172,4,430,9.302325581,1,178,5.617977528
5,1,3,333.3333333,1,8,125,1,1,1000,1,4,250,1,16,62.5,1,109,9.174311927,3,401,7.481296758,2,430,4.651162791,1,178,5.617977528
6,1,3,333.3333333,1,8,125,1,1,1000,1,4,250,1,16,62.5,1,109,9.174311927,3,401,7.481296758,3,430,6.976744186,1,178,5.617977528
7,1,3,333.3333333,1,8,125,1,1,1000,1,4,250,1,16,62.5,1,109,9.174311927,3,401,7.481296758,3,430,6.976744186,1,178,5.617977528
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,,0
,,,,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,,0
Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,6,6,Result,9,9,Result,10,10,Result,11,11,Result,14,14,Result,19,19,Result,20,20,Result,,,,,,0
0,31,681,45.52129222,38,727,52.2696011,31,578,53.63321799,32,631,50.71315372,38,741,51.28205128,25,637,39.24646782,29,637,45.52590267,,,,,,0
1,11,681,16.15271659,12,727,16.50618982,9,578,15.57093426,9,631,14.26307448,12,741,16.19433198,8,637,12.5588697,9,637,14.12872841,,,,,,0
2,6,681,8.810572687,8,727,11.00412655,7,578,12.11072664,6,631,9.508716323,8,741,10.79622132,5,637,7.849293564,7,637,10.98901099,,,,,,0
3,5,681,7.342143906,5,727,6.877579092,5,578,8.650519031,5,631,7.923930269,5,741,6.747638327,4,637,6.279434851,5,637,7.849293564,,,,,,0
4,4,681,5.873715125,5,727,6.877579092,4,578,6.920415225,4,631,6.339144216,5,741,6.747638327,4,637,6.279434851,4,637,6.279434851,,,,,,0
5,4,681,5.873715125,4,727,5.502063274,4,578,6.920415225,4,631,6.339144216,4,741,5.398110661,2,637,3.139717425,4,637,6.279434851,,,,,,0
6,4,681,5.873715125,4,727,5.502063274,2,578,3.460207612,4,631,6.339144216,4,741,5.398110661,2,637,3.139717425,2,637,3.139717425,,,,,,
7,2,681,2.936857562,4,727,5.502063274,2,578,3.460207612,2,631,3.169572108,4,741,5.398110661,3,637,4.709576138,2,637,3.139717425,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,
