,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,
0,117.647,117.647,117.647,117.647,117.647,90.909,17.862,6.95,11.369,17.861,20.838,20.837,12.505,13.893,17.861,11.369,7.359,8.934,10.422,20.837,20.837,31.253,31.252,62.499,,,
1,235.294,222.222,235.294,235.294,210.526,121.196,24.987,8.919,14.695,22.716,27.767,27.763,15.615,17.845,22.715,15.614,9.605,11.354,13.878,24.99,24.99,41.652,41.649,83.318,,,
2,352.941,315.789,352.941,333.333,285.714,133.316,26.754,10.103,16.271,24.969,31.218,28.814,17.823,19.703,24.967,17.013,10.386,12.899,15.591,28.813,28.813,46.837,41.634,93.716,,,
3,444.444,421.053,470.588,444.444,363.636,142.819,29.354,10.366,16.615,26.264,33.28,31.194,18.464,19.948,26.262,17.804,10.819,13.461,16.075,31.193,31.193,49.63,45.398,98.713,,,
4,555.556,500,588.235,555.556,416.667,151.475,29.689,10.707,17.291,27.105,34.65,31.181,18.869,20.763,27.103,18.313,11.294,13.82,16.378,31.18,31.18,48.009,47.543,103.024,,,
5,666.667,600,705.882,666.667,500,181.745,29.943,10.817,17.388,27.722,35.654,32.55,19.175,20.78,27.72,18.693,11.311,14.095,16.612,31.196,31.196,49.943,46.817,107.084,,,
6,777.778,666.667,823.529,736.842,538.462,170.641,29.081,10.717,17.412,27.258,34.91,32.315,18.933,20.747,27.254,18.144,11.276,13.803,16.422,31.163,31.163,51.374,45.965,109.282,,,
7,888.889,761.905,941.176,842.105,615.385,195.018,31.166,11.284,18.102,28.493,35.637,33.252,19.529,21.66,28.489,19.151,11.688,14.415,17.162,33.25,33.25,52.546,49.912,124.894,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg speed= ,,"[ 15.28, 15.28, 15.18, 15.28, 15.28, 15.28, 13.67, 12.5, 13.51, 15.28, 15.28, 15.28, 15.28, 15.28, 15.28, 15.28, 15.27, 13.39, 12.5, 12.5, 13.81, 15.28, 15.28, 15.28]",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"avg no of vehicles:  [3, 8, 1, 4, 16, 109, 681, 1856, 1158, 727, 578, 631, 1064, 963, 741, 1093, 1775, 1444, 1220, 637, 637, 401, 430, 178]",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,result,1,1,result,2,2,result,3,3,result,4,4,result,5,5,result,21,21,result,22,22,result,23,23,result
0,117.647,15.28,102.367,117.647,15.28,102.367,117.647,15.18,102.467,117.647,15.28,102.367,117.647,15.28,102.367,90.909,15.28,75.629,31.253,15.28,15.973,31.252,15.28,15.972,62.499,15.28,47.219
1,235.294,15.28,220.014,222.222,15.28,206.942,235.294,15.18,220.114,235.294,15.28,220.014,210.526,15.28,195.246,121.196,15.28,105.916,41.652,15.28,26.372,41.649,15.28,26.369,83.318,15.28,68.038
2,352.941,15.28,337.661,315.789,15.28,300.509,352.941,15.18,337.761,333.333,15.28,318.053,285.714,15.28,270.434,133.316,15.28,118.036,46.837,15.28,31.557,41.634,15.28,26.354,93.716,15.28,78.436
3,444.444,15.28,429.164,421.053,15.28,405.773,470.588,15.18,455.408,444.444,15.28,429.164,363.636,15.28,348.356,142.819,15.28,127.539,49.63,15.28,34.35,45.398,15.28,30.118,98.713,15.28,83.433
4,555.556,15.28,540.276,500,15.28,484.72,588.235,15.18,573.055,555.556,15.28,540.276,416.667,15.28,401.387,151.475,15.28,136.195,48.009,15.28,32.729,47.543,15.28,32.263,103.024,15.28,87.744
5,666.667,15.28,651.387,600,15.28,584.72,705.882,15.18,690.702,666.667,15.28,651.387,500,15.28,484.72,181.745,15.28,166.465,49.943,15.28,34.663,46.817,15.28,31.537,107.084,15.28,91.804
6,777.778,15.28,762.498,666.667,15.28,651.387,823.529,15.18,808.349,736.842,15.28,721.562,538.462,15.28,523.182,170.641,15.28,155.361,51.374,15.28,36.094,45.965,15.28,30.685,109.282,15.28,94.002
7,888.889,15.28,873.609,761.905,15.28,746.625,941.176,15.18,925.996,842.105,15.28,826.825,615.385,15.28,600.105,195.018,15.28,179.738,52.546,15.28,37.266,49.912,15.28,34.632,124.894,15.28,109.614
,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Moderate,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
,6,6,result,9,9,result,10,10,result,11,11,result,14,14,result,19,19,result,20,20,result,,,0,,,0
0,17.862,13.67,4.192,17.861,15.28,2.581,20.838,15.28,5.558,20.837,15.28,5.557,17.861,15.28,2.581,20.837,12.5,8.337,20.837,13.81,7.027,,,0,,,0
1,24.987,13.67,11.317,22.716,15.28,7.436,27.767,15.28,12.487,27.763,15.28,12.483,22.715,15.28,7.435,24.99,12.5,12.49,24.99,13.81,11.18,,,0,,,0
2,26.754,13.67,13.084,24.969,15.28,9.689,31.218,15.28,15.938,28.814,15.28,13.534,24.967,15.28,9.687,28.813,12.5,16.313,28.813,13.81,15.003,,,0,,,0
3,29.354,13.67,15.684,26.264,15.28,10.984,33.28,15.28,18,31.194,15.28,15.914,26.262,15.28,10.982,31.193,12.5,18.693,31.193,13.81,17.383,,,0,,,0
4,29.689,13.67,16.019,27.105,15.28,11.825,34.65,15.28,19.37,31.181,15.28,15.901,27.103,15.28,11.823,31.18,12.5,18.68,31.18,13.81,17.37,,,0,,,0
5,29.943,13.67,16.273,27.722,15.28,12.442,35.654,15.28,20.374,32.55,15.28,17.27,27.72,15.28,12.44,31.196,12.5,18.696,31.196,13.81,17.386,,,0,,,0
6,29.081,13.67,15.411,27.258,15.28,11.978,34.91,15.28,19.63,32.315,15.28,17.035,27.254,15.28,11.974,31.163,12.5,18.663,31.163,13.81,17.353,,,0,,,
7,31.166,13.67,17.496,28.493,15.28,13.213,35.637,15.28,20.357,33.252,15.28,17.972,28.489,15.28,13.209,33.25,12.5,20.75,33.25,13.81,19.44,,,0,,,
,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
heavy,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,
,7,7,result,8,8,result,12,12,result,13,13,result,15,15,result,16,16,result,17,17,result,18,18,result,,,
0,6.95,12.5,-5.55,11.369,13.51,-2.141,12.505,15.28,-2.775,13.893,15.28,-1.387,11.369,15.28,-3.911,7.359,15.27,-7.911,8.934,13.39,-4.456,10.422,12.5,-2.078,,,
1,8.919,12.5,-3.581,14.695,13.51,1.185,15.615,15.28,0.335,17.845,15.28,2.565,15.614,15.28,0.334,9.605,15.27,-5.665,11.354,13.39,-2.036,13.878,12.5,1.378,,,
2,10.103,12.5,-2.397,16.271,13.51,2.761,17.823,15.28,2.543,19.703,15.28,4.423,17.013,15.28,1.733,10.386,15.27,-4.884,12.899,13.39,-0.491,15.591,12.5,3.091,,,
3,10.366,12.5,-2.134,16.615,13.51,3.105,18.464,15.28,3.184,19.948,15.28,4.668,17.804,15.28,2.524,10.819,15.27,-4.451,13.461,13.39,0.071,16.075,12.5,3.575,,,
4,10.707,12.5,-1.793,17.291,13.51,3.781,18.869,15.28,3.589,20.763,15.28,5.483,18.313,15.28,3.033,11.294,15.27,-3.976,13.82,13.39,0.43,16.378,12.5,3.878,,,
5,10.817,12.5,-1.683,17.388,13.51,3.878,19.175,15.28,3.895,20.78,15.28,5.5,18.693,15.28,3.413,11.311,15.27,-3.959,14.095,13.39,0.705,16.612,12.5,4.112,,,
6,10.717,12.5,-1.783,17.412,13.51,3.902,18.933,15.28,3.653,20.747,15.28,5.467,18.144,15.28,2.864,11.276,15.27,-3.994,13.803,13.39,0.413,16.422,12.5,3.922,,,
7,11.284,12.5,-1.216,18.102,13.51,4.592,19.529,15.28,4.249,21.66,15.28,6.38,19.151,15.28,3.871,11.688,15.27,-3.582,14.415,13.39,1.025,17.162,12.5,4.662,,,
