,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,
0,117.647,117.647,117.647,117.647,117.647,111.111,62.499,17.865,31.255,41.672,62.501,62.5,31.256,31.256,41.672,31.255,20.84,25.006,31.255,62.5,62.5,95.238,62.502,105.263,,,
1,235.294,235.294,235.294,235.294,235.294,181.818,62.491,20.833,35.71,49.998,62.496,62.494,35.713,41.663,49.997,35.712,22.725,27.775,31.249,62.493,62.493,83.329,83.326,160,,,
2,352.941,352.941,352.941,352.941,333.333,222.222,74.035,24.973,41.635,62.47,74.971,74.965,46.84,46.847,62.468,41.639,26.757,34.059,37.473,74.964,74.964,111.081,105.235,181.818,,,
3,470.588,444.444,470.588,470.588,421.053,250,71.373,27.722,45.138,68.321,82.419,76.872,48.722,53.277,67.173,45.4,29.354,35.657,41.61,76.14,76.14,111.067,105.221,195.096,,,
4,588.235,555.556,588.235,588.235,526.316,277.778,71.875,28.414,44.373,67.964,82.59,76.862,48.006,52.561,66.605,46.879,29.686,36.159,42.299,76.275,76.275,112.315,106.326,204.054,,,
5,705.882,666.667,705.882,705.882,600,315.747,74.919,27.702,44.041,73.985,90.824,83.246,49.916,53.492,68.104,46.798,29.919,35.637,44.032,83.244,83.244,123.629,117.569,230.708,,,
6,823.529,777.778,823.529,823.529,700,341.418,72.836,25.669,41.596,67.231,79.478,79.463,45.979,48.545,67.228,43.681,27.275,33.584,39.702,72.849,72.849,124.91,109.3,245.549,,,
7,941.176,842.105,941.176,888.889,761.905,326.487,72.292,27.807,43.844,67.976,84.11,77.566,47.511,52.347,66.839,46.4,29.027,35.442,41.773,76.82,76.82,116.695,110.257,228.51,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,result,1,1,result,2,2,result,3,3,result,4,4,result,5,5,result,21,21,result,22,22,result,23,23,result
0,117.647,15.28,102.367,117.647,15.28,102.367,117.647,15.18,102.467,117.647,15.28,102.367,117.647,15.28,102.367,111.111,15.28,95.831,95.238,15.28,79.958,62.502,15.28,47.222,105.263,15.28,89.983
1,235.294,15.28,220.014,235.294,15.28,220.014,235.294,15.18,220.114,235.294,15.28,220.014,235.294,15.28,220.014,181.818,15.28,166.538,83.329,15.28,68.049,83.326,15.28,68.046,160,15.28,144.72
2,352.941,15.28,337.661,352.941,15.28,337.661,352.941,15.18,337.761,352.941,15.28,337.661,333.333,15.28,318.053,222.222,15.28,206.942,111.081,15.28,95.801,105.235,15.28,89.955,181.818,15.28,166.538
3,470.588,15.28,455.308,444.444,15.28,429.164,470.588,15.18,455.408,470.588,15.28,455.308,421.053,15.28,405.773,250,15.28,234.72,111.067,15.28,95.787,105.221,15.28,89.941,195.096,15.28,179.816
4,588.235,15.28,572.955,555.556,15.28,540.276,588.235,15.18,573.055,588.235,15.28,572.955,526.316,15.28,511.036,277.778,15.28,262.498,112.315,15.28,97.035,106.326,15.28,91.046,204.054,15.28,188.774
5,705.882,15.28,690.602,666.667,15.28,651.387,705.882,15.18,690.702,705.882,15.28,690.602,600,15.28,584.72,315.747,15.28,300.467,123.629,15.28,108.349,117.569,15.28,102.289,230.708,15.28,215.428
6,823.529,15.28,808.249,777.778,15.28,762.498,823.529,15.18,808.349,823.529,15.28,808.249,700,15.28,684.72,341.418,15.28,326.138,124.91,15.28,109.63,109.3,15.28,94.02,245.549,15.28,230.269
7,941.176,15.28,925.896,842.105,15.28,826.825,941.176,15.18,925.996,888.889,15.28,873.609,761.905,15.28,746.625,326.487,15.28,311.207,116.695,15.28,101.415,110.257,15.28,94.977,228.51,15.28,213.23
,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Moderate,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
,6,6,result,9,9,result,10,10,result,11,11,result,14,14,result,19,19,result,20,20,result,,,0,,,0
0,62.499,13.67,48.829,41.672,15.28,26.392,62.501,15.28,47.221,62.5,15.28,47.22,41.672,15.28,26.392,62.5,12.5,50,62.5,13.81,48.69,,,0,,,0
1,62.491,13.67,48.821,49.998,15.28,34.718,62.496,15.28,47.216,62.494,15.28,47.214,49.997,15.28,34.717,62.493,12.5,49.993,62.493,13.81,48.683,,,0,,,0
2,74.035,13.67,60.365,62.47,15.28,47.19,74.971,15.28,59.691,74.965,15.28,59.685,62.468,15.28,47.188,74.964,12.5,62.464,74.964,13.81,61.154,,,0,,,0
3,71.373,13.67,57.703,68.321,15.28,53.041,82.419,15.28,67.139,76.872,15.28,61.592,67.173,15.28,51.893,76.14,12.5,63.64,76.14,13.81,62.33,,,0,,,0
4,71.875,13.67,58.205,67.964,15.28,52.684,82.59,15.28,67.31,76.862,15.28,61.582,66.605,15.28,51.325,76.275,12.5,63.775,76.275,13.81,62.465,,,0,,,0
5,74.919,13.67,61.249,73.985,15.28,58.705,90.824,15.28,75.544,83.246,15.28,67.966,68.104,15.28,52.824,83.244,12.5,70.744,83.244,13.81,69.434,,,0,,,0
